person_id,file_id,touches,recency_weight,first_seen,last_seen,sensitive_weight
codex@minidefrancois.home,src/components/sections/Contact.astro,3,2.999062,2026-02-27T19:54:36+01:00,2026-02-28T00:36:38+01:00,0.00
codex@minidefrancois.home,src/components/sections/Experience.astro,3,2.999062,2026-02-27T19:54:36+01:00,2026-02-28T00:36:38+01:00,0.00
codex@minidefrancois.home,src/components/sections/Footer.astro,3,2.999062,2026-02-27T19:54:36+01:00,2026-02-28T00:36:38+01:00,0.00
codex@minidefrancois.home,src/components/sections/Reasons.astro,3,2.999062,2026-02-27T19:54:36+01:00,2026-02-28T00:36:38+01:00,0.00
codex@minidefrancois.home,src/components/visits/AccessSection.astro,2,1.999863,2026-02-28T00:20:50+01:00,2026-02-28T00:36:38+01:00,0.00
codex@minidefrancois.home,src/components/visits/ExperienceTimeline.astro,2,1.999863,2026-02-28T00:20:50+01:00,2026-02-28T00:36:38+01:00,0.00
codex@minidefrancois.home,src/components/visits/ExtendedEscape.astro,2,1.999863,2026-02-28T00:20:50+01:00,2026-02-28T00:36:38+01:00,0.00
codex@minidefrancois.home,src/components/visits/VisitHero.astro,2,1.999863,2026-02-28T00:20:50+01:00,2026-02-28T00:36:38+01:00,0.00
codex@minidefrancois.home,.gitignore,3,2.998334,2026-02-27T19:54:36+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,FINAL_VISIT.png,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,PERINADE SHOP INTERMEDIAIRE.png,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,PERINADE_Design.fig,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,PERINADE_Make APP.png,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,Pictures-to-add/8a4b3fbe55bc13da224e8ecf3731f47aefe319e7.png,2,1.999130,2026-02-27T19:54:36+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,"Pictures-to-add/ChatGPT Image Feb 26, 2026, 06_11_38 PM 1.png",2,1.999130,2026-02-27T19:54:36+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,SHOP.png,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,VISIT.png,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,VISIT_2_DEV.png,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,history.png,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,home.png,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,src/components/domaine/DomaineHero.astro,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,src/components/domaine/FamilyTimelineTable.astro,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,src/data/domaine.ts,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,src/types/domaine.ts,2,1.999842,2026-02-28T00:20:50+01:00,2026-02-28T00:28:35+01:00,0.00
codex@minidefrancois.home,CLOUDFLARE_PAGES_DEPLOY.md,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,package-lock.json,2,1.999110,2026-02-27T19:54:36+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,package.json,2,1.999110,2026-02-27T19:54:36+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/shop/img-1.png,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/shop/img-2.png,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/shop/img-3.png,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/shop/img-4.png,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/shop/img-5.png,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/shop/img-6.png,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/shop/img-7.png,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/shop/package.png,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/visits/extended-pool.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/visits/final-cta-bg.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/visits/hero-grapes.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/visits/pairing-board.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/visits/step-1.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/visits/step-2.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/visits/step-3.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/visits/step-4.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/visits/wine-red-card.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/visits/wine-rose-card.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,public/assets/perinade/visits/wine-white-card.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,src/assets/perinade/domaine/family.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,src/assets/perinade/domaine/hero.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,src/assets/perinade/domaine/terroir.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
codex@minidefrancois.home,src/assets/perinade/domaine/timeline-left.jpg,1,0.999911,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,0.00
